Simulation,NumberOfGenes,DEgenes,Upregulated,TopCounts/DE,Correct/TopCounts,Correct/DE
422,9595,754,0.631007956,0.206831241,0.974358974,0.201527876
423,8218,1374,0.617138139,0.248150584,0.991202346,0.245967441
424,8688,1235,0.548250239,0.268710933,0.969879518,0.26061723
425,10896,742,0.487924005,0.17923592,0.977443609,0.175193005
426,11799,915,0.647295635,0.221720598,0.975369458,0.2162595
427,9694,2374,0.537777294,0.299892723,0.978932584,0.293574759
428,9901,2197,0.529234435,0.293484536,0.987596899,0.289844418
429,8197,1864,0.632407737,0.272929665,0.988212181,0.26971242
430,9687,1745,0.483554382,0.272198938,0.981052632,0.267041485
431,9017,2212,0.464018462,0.266655023,0.989830508,0.263943277
432,12316,1565,0.460302564,0.212645721,0.96996997,0.206259964
433,10447,1628,0.479559501,0.256654905,0.9784689,0.251128842
434,10419,2682,0.6130106,0.293383147,0.982210928,0.288164133
