Simulation,NumberOfGenes,DEgenes,Upregulated,TopCounts/DE,Correct/TopCounts,Correct/DE
217,9877,2867,0.565458926,0.275128749,0.988593156,0.271990398
218,10203,947,0.635128522,0.251296705,0.983193277,0.247073231
219,8399,1862,0.635241318,0.287212419,0.979439252,0.281307116
220,10816,2099,0.550856184,0.282403855,0.986509275,0.278594022
221,9364,1559,0.608668566,0.241782529,0.978779841,0.236651866
222,10061,2946,0.585188775,0.297338658,0.982876712,0.292247243
223,11274,577,0.581770661,0.204444227,0.957627119,0.195781336
224,10330,1699,0.495761689,0.226008581,0.981770833,0.221888632
225,9760,842,0.622377317,0.233804042,0.974619289,0.227869929
226,10053,1474,0.478905994,0.248302737,0.978142077,0.242875355
227,10015,2487,0.461067541,0.278956769,0.978386167,0.272927444
228,9704,1714,0.504150659,0.273577752,0.976545842,0.267161216
229,11706,1053,0.582092027,0.201206908,0.976415094,0.196461463
230,10489,1080,0.462598193,0.210060802,0.982378855,0.20635929
231,11383,3370,0.474191216,0.301147841,0.983251232,0.296103986
232,11812,3452,0.456138288,0.29576577,0.986287953,0.291710215
233,8255,608,0.466099981,0.220280165,0.97761194,0.21534852
234,8869,759,0.456368266,0.209408206,0.981132075,0.205457108
235,10336,2580,0.628533747,0.290605035,0.98,0.284792934
236,9439,1989,0.546580593,0.2809696,0.989266547,0.277953826
237,12076,2677,0.584011748,0.268181503,0.986072423,0.264446385
238,10890,653,0.476398345,0.192770559,0.976190476,0.188180784
239,11876,1523,0.517820885,0.227813177,0.971181556,0.221247956
240,12207,3511,0.535430621,0.278766132,0.989785495,0.275918674
241,12184,1051,0.457247179,0.204387513,0.976744186,0.199634315
242,10280,2913,0.456959811,0.288634527,0.983353151,0.283829672
243,8447,2023,0.476125839,0.270262302,0.990859232,0.267791897
244,10939,1778,0.618988572,0.255874616,0.98021978,0.25081336
245,12059,3470,0.572138336,0.280691166,0.985626283,0.276656591
246,11333,1127,0.63140155,0.221756502,0.952,0.21111219
247,9856,1492,0.561207893,0.263991167,0.969543147,0.255950827
248,11821,2005,0.56642913,0.255239198,0.98046875,0.250254058
249,8948,1328,0.537657108,0.21596591,0.979094077,0.211450943
250,12117,3171,0.546515725,0.27238517,0.978009259,0.266395218
251,11282,849,0.514568785,0.199000905,0.99408284,0.197823384
252,10964,1737,0.605237145,0.238824306,0.980722892,0.234220464
253,8869,992,0.624688037,0.234749256,0.978540773,0.229711718
254,12036,1872,0.483342319,0.253079779,0.974683544,0.246672696
255,8971,2076,0.451314254,0.268226184,0.97486535,0.261484413
256,10371,1311,0.565874621,0.231771931,0.983552632,0.227959893
257,8928,613,0.499350771,0.229829854,0.978723404,0.224939857
258,10490,2251,0.613638938,0.247375752,0.980251346,0.242490414
259,10059,2983,0.532125641,0.299292795,0.985442329,0.294935789
260,8566,1154,0.613483588,0.252010863,0.979381443,0.246814763
261,8150,1224,0.49194894,0.264597456,0.981481481,0.259697503
262,9679,2823,0.611151379,0.28263948,0.984962406,0.278389262
263,12314,2386,0.599400318,0.250965891,0.989983306,0.248452043
264,9671,953,0.643055045,0.198195434,0.957671958,0.189806209
265,10501,3000,0.494143972,0.273946801,0.984184915,0.269614309
266,8450,979,0.557652417,0.253279967,0.97983871,0.248173516
267,12413,1908,0.52507274,0.237340244,0.973509934,0.231053085
268,10153,3005,0.586335579,0.292759818,0.980681818,0.287104231
269,11672,1811,0.491934262,0.232367235,0.976247031,0.226847823
270,9081,1936,0.58869368,0.270020306,0.980879541,0.264857394
271,11482,2014,0.64997315,0.271982042,0.983576642,0.267515183
272,9727,2613,0.454156349,0.272443204,0.987359551,0.268999399
273,9124,912,0.45933082,0.223525592,0.970588235,0.21695131
274,12379,1839,0.629338734,0.244586494,0.975555556,0.238607713
275,9427,1222,0.64110386,0.234764172,0.982578397,0.230674204
276,9676,1458,0.564917911,0.286506298,0.973684211,0.278966659
277,11723,764,0.553554838,0.215827027,0.981818182,0.211902899
278,9470,2269,0.517656434,0.285470718,0.979938272,0.279743682
279,9504,2014,0.558066315,0.259086328,0.980842912,0.254122988
280,9004,1510,0.584179752,0.233066249,0.982954545,0.229093529
281,11205,1830,0.601871798,0.263251706,0.981327801,0.258336218
282,9831,2348,0.627607634,0.282250719,0.983408748,0.277567826
283,8395,1687,0.54336291,0.260134437,0.981776765,0.255393947
284,10664,3131,0.533789049,0.281354305,0.977298524,0.274967147
285,11742,1864,0.5308564,0.251482068,0.980810235,0.246656186
286,8518,1911,0.538339316,0.289835558,0.981949458,0.284603869
287,9501,1189,0.549457449,0.233704671,0.967625899,0.226138692
288,9487,2105,0.527745925,0.276895989,0.987993139,0.273571337
289,11447,2449,0.638585288,0.267410137,0.972519084,0.260061462
290,8390,2183,0.562295114,0.280737509,0.986949429,0.277073724
291,9887,1659,0.570725364,0.267620864,0.97972973,0.262196117
292,8346,1765,0.54137554,0.265087609,0.967948718,0.256591211
293,12284,2220,0.631661523,0.252221021,0.976785714,0.246365891
294,10985,2264,0.530434822,0.257472805,0.982847341,0.253056462
295,10462,1415,0.643650192,0.264231834,0.978609626,0.258579816
296,12136,3019,0.581639866,0.269558898,0.981572482,0.264591597
297,12327,722,0.628848985,0.199217094,0.986111111,0.19645019
298,8835,1170,0.628576798,0.224649279,0.977186312,0.2195242
299,8906,1967,0.558271951,0.292201768,0.989565217,0.289152706
300,8537,2540,0.634965487,0.289362444,0.985034014,0.285031849
301,11905,2066,0.522713736,0.255938413,0.969754253,0.248197365
302,10199,2322,0.511373801,0.281144839,0.984686064,0.276839405
303,11418,1384,0.462042441,0.221740087,0.964169381,0.213795002
304,8057,2205,0.516080247,0.315513463,0.995689655,0.314153491
305,10218,2530,0.464838515,0.289697773,0.984993179,0.285350331
306,8707,875,0.486558169,0.253599048,0.959459459,0.243318005
307,9756,1768,0.56980273,0.257782967,0.98245614,0.253260459
308,9828,2092,0.638648832,0.277696498,0.969018933,0.269093165
309,9613,2641,0.495333139,0.31880282,0.985748219,0.314259312
310,9842,1672,0.584398273,0.249307148,0.988009592,0.246317853
311,11815,675,0.594324307,0.198239087,0.992537313,0.196759691
312,8074,1612,0.60003803,0.272868048,0.979545455,0.267286656
313,10322,1422,0.467529216,0.249517136,0.969014085,0.241785619
314,8197,575,0.49359034,0.243366113,0.978571429,0.238151124
315,8499,1520,0.611775805,0.24927474,0.976253298,0.243355287
316,11254,2376,0.521826277,0.27819398,0.983358548,0.273564428
317,10872,1404,0.602662253,0.247138033,0.979827089,0.24215254
318,8438,1275,0.499030536,0.25480736,0.969230769,0.246967133
319,8869,1649,0.646829983,0.243721119,0.965174129,0.235233319
320,10956,884,0.6434434,0.224988878,0.954773869,0.214813502
321,11407,2999,0.459049897,0.286387808,0.983701979,0.281720254
322,11329,1734,0.469759035,0.242655985,0.976247031,0.236892184
323,9345,2411,0.535579087,0.277819627,0.985074627,0.273673065
324,9227,2037,0.584640287,0.29650199,0.991721854,0.294047503
325,8361,2371,0.542983659,0.315001026,0.985274431,0.310362456
326,11002,746,0.57748316,0.217014356,0.969135802,0.210316382
327,9682,1216,0.649858259,0.223596892,0.992647059,0.221952797
328,9414,2056,0.612474905,0.289362627,0.981512605,0.284013066
329,9568,1659,0.607345486,0.249454851,0.971014493,0.242224275
330,10270,1237,0.556053893,0.255441921,0.981012658,0.250591758
331,8386,1880,0.537682946,0.288738367,0.966850829,0.279166929
332,10980,3020,0.452093272,0.296011143,0.982102908,0.290713405
333,12412,3180,0.504577717,0.281446504,0.977653631,0.275157196
334,9408,1861,0.593127788,0.275120272,0.978515625,0.269209485
335,9588,2218,0.621815732,0.27050403,0.991666667,0.268249829
336,8066,1752,0.483563337,0.292713645,0.98245614,0.287578318
337,11420,1111,0.577858784,0.229316796,0.984313725,0.225719669
338,9195,613,0.51754239,0.205468033,0.96031746,0.19731454
339,11352,1300,0.583845232,0.242178762,0.958730159,0.232184083
340,9973,1135,0.474130118,0.230705415,0.961832061,0.221899865
341,9855,2699,0.637344209,0.274152227,0.989189189,0.271188419
342,12462,2568,0.450899739,0.255363142,0.969512195,0.247577681
343,9807,1804,0.60667369,0.258279701,0.984978541,0.254399963
344,10865,1288,0.495387052,0.237399944,0.983660131,0.23352086
345,10401,2950,0.543419113,0.297904269,0.979522184,0.29180384
346,8802,1176,0.464822236,0.234617999,0.97826087,0.229517607
347,12260,733,0.477466415,0.207166529,0.967105263,0.200351841
348,11943,1205,0.510789559,0.25310152,0.973770492,0.246462791
349,11821,3349,0.557159562,0.280647138,0.993617021,0.278855773
350,11547,2428,0.476346853,0.273002027,0.977375566,0.266825511
351,8972,1053,0.516694267,0.24588839,0.984555985,0.242090886
352,11698,2805,0.555887288,0.27659303,0.971649485,0.268751475
